,tag,is_np_part,is_after_StopWord,is_after_verb,is_before_StopWord,is_before_verb,np_index,tag_before,tag_after,is_after_StartStops,is_before_key_stop,token_tf,normalized_tfnum_set
705,17,0,0,0,0,0,-1,1,13,0,0,3,0.057692307692307696
706,13,0,1,1,0,0,-1,17,13,0,0,1,0.019230769230769232
707,13,0,0,0,1,1,-1,13,17,0,0,1,0.019230769230769232
708,17,0,0,0,0,0,-1,13,16,0,0,3,0.057692307692307696
709,16,1,1,1,0,0,0,17,3,0,0,1,0.019230769230769232
710,3,1,0,0,1,1,0,16,18,0,0,1,0.019230769230769232
711,18,0,0,0,1,0,-1,3,17,0,0,2,0.038461538461538464
712,17,0,1,1,0,0,-1,18,16,0,0,1,0.019230769230769232
713,16,1,1,0,0,0,1,17,13,1,0,2,0.038461538461538464
714,13,1,0,0,1,0,1,16,16,0,0,1,0.019230769230769232
715,16,1,0,0,0,0,2,13,13,0,0,1,0.019230769230769232
716,13,1,1,0,0,0,2,16,27,0,0,1,0.019230769230769232
717,27,0,0,0,0,0,-1,13,22,0,0,1,0.019230769230769232
718,22,0,0,0,1,0,-1,27,20,0,0,4,0.07692307692307693
719,20,0,0,0,0,0,-1,22,14,0,0,1,0.019230769230769232
720,14,0,1,0,1,0,-1,20,26,0,0,2,0.038461538461538464
721,26,0,0,0,0,0,-1,14,16,0,0,1,0.019230769230769232
722,16,1,1,0,0,0,3,26,14,0,0,1,0.019230769230769232
723,14,0,0,0,0,0,-1,16,13,0,0,2,0.038461538461538464
724,13,0,0,0,1,0,-1,14,17,0,0,1,0.019230769230769232
725,17,0,0,0,1,0,-1,13,1,0,0,1,0.019230769230769232
726,1,0,1,0,1,0,-1,17,17,1,0,1,0.019230769230769232
727,17,0,1,0,0,0,-1,1,13,0,0,1,0.019230769230769232
728,13,0,1,0,1,0,-1,17,17,0,0,1,0.019230769230769232
729,17,0,0,0,0,0,-1,13,1,0,0,1,0.019230769230769232
730,1,0,1,0,1,0,-1,17,9,0,0,1,0.019230769230769232
731,9,0,0,0,0,0,-1,1,13,0,0,1,0.019230769230769232
732,13,0,1,0,1,1,-1,9,18,0,0,1,0.019230769230769232
733,18,0,0,0,0,0,-1,13,13,0,0,2,0.038461538461538464
734,13,0,1,1,0,0,1,18,27,0,0,2,0.038461538461538464
735,27,0,0,0,1,0,-1,13,7,0,0,1,0.019230769230769232
736,7,0,0,0,0,0,-1,27,3,0,0,1,0.019230769230769232
737,3,0,1,0,0,0,-1,7,27,0,0,1,0.019230769230769232
738,27,0,0,0,1,0,-1,3,7,0,0,1,0.019230769230769232
739,7,0,0,0,0,0,-1,27,13,0,0,1,0.019230769230769232
740,13,0,1,0,0,0,-1,7,22,0,0,1,0.019230769230769232
741,22,0,0,0,0,0,-1,13,1,0,0,4,0.07692307692307693
742,1,0,0,0,0,0,-1,22,13,0,0,1,0.019230769230769232
743,13,0,0,0,1,1,-1,1,17,0,0,1,0.019230769230769232
744,17,0,0,0,1,0,-1,13,9,0,0,3,0.057692307692307696
745,9,0,1,1,1,0,-1,17,13,0,0,1,0.019230769230769232
746,13,0,1,0,1,0,-1,9,13,1,0,1,0.019230769230769232
747,13,0,1,0,0,0,-1,13,27,0,0,1,0.019230769230769232
748,27,0,1,0,0,0,-1,13,22,0,0,1,0.019230769230769232
749,22,0,0,0,0,0,-1,27,13,0,0,4,0.07692307692307693
750,13,0,0,0,0,0,-1,22,13,0,0,1,0.019230769230769232
751,13,0,0,0,0,0,-1,13,16,0,0,1,0.019230769230769232
752,16,1,0,0,0,0,4,13,13,0,0,1,0.019230769230769232
